us-east-2,US East (Ohio),s3-website.us-east-2.amazonaws.com,Z2O1EMRO9K5GLX
us-east-1,US East (N. Virginia),s3-website-us-east-1.amazonaws.com,Z3AQBSTGFYJSTF 
us-west-1,US West (N. California),s3-website-us-west-1.amazonaws.com,Z2F56UZL2M1ACD 
us-west-2,US West (Oregon),s3-website-us-west-2.amazonaws.com,Z3BJ6K6RIION7M
af-south-1,Africa (Cape Town),s3-website.af-south-1.amazonaws.com,Z11KHD8FBVPUYU
ap-east-1,Asia Pacific (Hong Kong),s3-website.ap-east-1.amazonaws.com,ZNB98KWMFR0R6
ap-south-1,Asia Pacific (Mumbai),s3-website.ap-south-1.amazonaws.com,Z11RGJOFQNVJUP
ap-northeast-3,Asia Pacific (Osaka-Local),s3-website.ap-northeast-3.amazonaws.com,Z2YQB5RD63NC85
ap-northeast-2,Asia Pacific (Seoul),s3-website.ap-northeast-2.amazonaws.com,Z3W03O7B5YMIYP
ap-southeast-1,Asia Pacific (Singapore), s3-website-ap-southeast-1.amazonaws.com,Z3O0J2DXBE1FTB
ap-southeast-2,Asia Pacific (Sydney),s3-website-ap-southeast-2.amazonaws.com,Z1WCIGYICN2BYD
ap-northeast-1,Asia Pacific (Tokyo),s3-website-ap-northeast-1.amazonaws.com,Z2M4EHUR26P7ZW
ca-central-1,Canada (Central),s3-website.ca-central-1.amazonaws.com,Z1QDHH18159H29
cn-northwest-1,China (Ningxia),s3-website.cn-northwest-1.amazonaws.com.cn,Not supported
eu-central-1,Europe (Frankfurt),s3-website.eu-central-1.amazonaws.com,Z21DNDUVLTQW6Q
eu-west-1,Europe (Ireland),s3-website-eu-west-1.amazonaws.com,Z1BKCTXD74EZPE
eu-west-2,Europe (London),s3-website.eu-west-2.amazonaws.com,Z3GKZC51ZF0DB4
eu-south-1,Europe (Milan),s3-website.dualstack.eu-south-1.amazonaws.com,Z3IXVV8C73GIO3
eu-west-3,Europe (Paris),s3-website.eu-west-3.amazonaws.com,Z3R1K369G5AVDG
eu-north-1,Europe (Stockholm),s3-website.eu-north-1.amazonaws.com,Z3BAZG2TWCNX0D
sa-east-1,South America (São Paulo),s3-website-sa-east-1.amazonaws.com,Z7KQH4QJS55SO
